k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
83	coverage	0.01	20	0.0233061337400301	0.0233183183183183	0.0233121942690437	0.0233121942690437
83	mean	0	20	0.491313701823738	0.495495495495495	0.493199562038263	0.493199562038263
83	mean	0.001	20	0.455713816016167	0.45951951951952	0.457460797709427	0.457460797709427
83	mean	0.01	20	0.0235156035476362	0.0235285285285285	0.0235220317110372	0.0235220317110372
83	median	0	20	0.329187537787897	0.330825825825826	0.329969172505439	0.329969172505439
83	median	0.001	20	0.394948976977696	0.397732732732733	0.396260255505601	0.396260255505601
83	median	0.01	20	0.00223560193857224	0.00223723723723724	0.00223641551999761	0.00223641551999761
87	coverage	0	20	0.450229511473032	0.454249249249249	0.452058362654326	0.452058362654326
87	coverage	0.001	20	0.401323528695189	0.404489489489489	0.402794397623451	0.402794397623451
87	coverage	0.01	20	0.00102102102102102	0.00102102102102102	0.00102102102102102	0.00102102102102102
87	mean	0	20	0.447565079350452	0.451501501501501	0.449363971098311	0.449363971098311
87	mean	0.001	20	0.398613632442515	0.401711711711712	0.400055735405044	0.400055735405044
87	mean	0.01	20	0.000960960960960961	0.000960960960960961	0.000960960960960961	0.000960960960960961
87	median	0	20	0.450047875938117	0.453873873873874	0.451760294089079	0.451760294089079
87	median	0.001	20	0.115145471795261	0.115570570570571	0.115353800573467	0.115353800573467
87	median	0.01	20	0.000855855855855856	0.000855855855855856	0.000855855855855856	0.000855855855855856
91	coverage	0	20	0.260327794917211	0.264159159159159	0.262127047542281	0.262127047542281
91	coverage	0.001	20	0.131203609267334	0.131576576576577	0.131386201970547	0.131386201970547
91	coverage	0.01	20	0.000195195195195195	0.000195195195195195	0.000195195195195195	0.000195195195195195
91	mean	0	20	0.264513123900589	0.265915915915916	0.265189424684609	0.265189424684609
91	mean	0.001	20	0.132934272821258	0.133318318318318	0.133122004772301	0.133122004772301
91	mean	0.01	20	0.000225225225225225	0.000225225225225225	0.000225225225225225	0.000225225225225225
91	median	0	20	0.260327794917211	0.264159159159159	0.262127047542281	0.262127047542281
91	median	0.001	20	0.220296720086954	0.223318318318318	0.221722772936991	0.221722772936991
91	median	0.01	20	0.000405405405405405	0.000405405405405405	0.000405405405405405	0.000405405405405405
95	coverage	0	20	0.00048048048048048	0.00048048048048048	0.00048048048048048	0.00048048048048048
95	coverage	0.001	20	0.000135135135135135	0.000135135135135135	0.000135135135135135	0.000135135135135135
95	coverage	0.01	20	0.00045045045045045	0.00045045045045045	0.00045045045045045	0.00045045045045045
95	mean	0	20	0.000465465465465465	0.000465465465465465	0.000465465465465466	0.000465465465465466
95	mean	0.001	20	0.00015015015015015	0.00015015015015015	0.00015015015015015	0.00015015015015015
95	mean	0.01	20	0.00045045045045045	0.00045045045045045	0.00045045045045045	0.00045045045045045
95	median	0	20	0.000645645645645646	0.000645645645645646	0.000645645645645646	0.000645645645645646
95	median	0.001	20	0.00024024024024024	0.00024024024024024	0.00024024024024024	0.00024024024024024
95	median	0.01	20	0	0	0	0
99	coverage	0	20	0.000465465465465465	0.000465465465465465	0.000465465465465465	0.000465465465465465
99	coverage	0.001	20	0.000705705705705706	0.000705705705705706	0.000705705705705706	0.000705705705705706
99	coverage	0.01	20	0.00148648648648649	0.00148648648648649	0.00148648648648649	0.00148648648648649
99	mean	0	20	0.000465465465465465	0.000465465465465465	0.000465465465465465	0.000465465465465465
99	mean	0.001	20	0.000705705705705706	0.000705705705705706	0.000705705705705706	0.000705705705705706
99	mean	0.01	20	0.00148648648648649	0.00148648648648649	0.00148648648648649	0.00148648648648649
99	median	0	20	0	0	0	0
99	median	0.001	20	0	0	0	0
99	median	0.01	20	0	0	0	0
11	coverage	0	40	0.178641183069491	0.178693693693694	0.178665982827419	0.178665982827419
11	coverage	0.001	40	0.177953943429939	0.178003003003003	0.177977224621282	0.177977224621282
11	coverage	0.01	40	0.178721610081985	0.178783783783784	0.17875110286355	0.17875110286355
11	mean	0	40	0.175463620607425	0.175510510510511	0.175485972207478	0.175485972207478
11	mean	0.001	40	0.175402126602162	0.17545045045045	0.175425078396641	0.175425078396641
11	mean	0.01	40	0.177432256918799	0.177477477477477	0.177453939533644	0.177453939533644
11	median	0	40	0.1779504923788	0.178003003003003	0.177975292136728	0.177975292136728
11	median	0.001	40	0.175069052646925	0.17512012012012	0.175093414337586	0.175093414337586
11	median	0.01	40	0.172635117906159	0.172687687687688	0.172660263238529	0.172660263238529
15	coverage	0	40	0.457482619404928	0.462897897897898	0.459866795935252	0.459866795935252
15	coverage	0.001	40	0.456809688169598	0.462207207207207	0.459192215796828	0.459192215796828
15	coverage	0.01	40	0.444144592835119	0.449204204204204	0.446390821440415	0.446390821440415
15	mean	0	40	0.447917361283254	0.453078078078078	0.450194274295098	0.450194274295098
15	mean	0.001	40	0.447539858959019	0.452687687687688	0.449819985720266	0.449819985720266
15	mean	0.01	40	0.436331168613725	0.441201201201201	0.438499701107306	0.438499701107306
15	median	0	40	0.43353187803524	0.438198198198198	0.435603184601437	0.435603184601437
15	median	0.001	40	0.455650825353747	0.461051051051051	0.458035876109646	0.458035876109646
15	median	0.01	40	0.426047845296781	0.430705705705706	0.42812595327644	0.42812595327644
19	coverage	0	40	0.485098778284136	0.491261261261261	0.487786636286426	0.487786636286426
19	coverage	0.001	40	0.483797318635184	0.489924924924925	0.486470301530247	0.486470301530247
19	coverage	0.01	40	0.46796792193386	0.473648648648649	0.470469651649234	0.470469651649234
19	mean	0	40	0.47689675567933	0.482792792792793	0.47947518061232	0.47947518061232
19	mean	0.001	40	0.475286383480777	0.481051051051051	0.477815842547732	0.477815842547732
19	mean	0.01	40	0.460267843354616	0.465750750750751	0.462690249835233	0.462690249835233
19	median	0	40	0.483839981024434	0.489924924924925	0.486489650344021	0.486489650344021
19	median	0.001	40	0.475497703812189	0.481291291291291	0.478037450523176	0.478037450523176
19	median	0.01	40	0.465532007535221	0.471186186186186	0.468020029242058	0.468020029242058
23	coverage	0	40	0.505447557375984	0.512177177177177	0.508344670141002	0.508344670141002
23	coverage	0.001	40	0.503639265443542	0.51021021021021	0.506467153825635	0.506467153825635
23	coverage	0.01	40	0.483690200676109	0.48990990990991	0.486396752867742	0.486396752867742
23	mean	0	40	0.497591147979965	0.504039039039039	0.500379190721708	0.500379190721708
23	mean	0.001	40	0.495720012912606	0.501951951951952	0.49841121719914	0.49841121719914
23	mean	0.01	40	0.475338767197754	0.481306306306306	0.477949882288689	0.477949882288689
23	median	0	40	0.497181205672502	0.503588588588589	0.499951720710944	0.499951720710944
23	median	0.001	40	0.48009570596565	0.485780780780781	0.482572844110482	0.482572844110482
23	median	0.01	40	0.480393748056563	0.486501501501502	0.483060116264914	0.483060116264914
27	coverage	0	40	0.519418868395154	0.526486486486486	0.522438501317926	0.522438501317926
27	coverage	0.001	40	0.516983011120665	0.523903903903904	0.519940951285315	0.519940951285315
27	coverage	0.01	40	0.492068657745556	0.498513513513514	0.494860167354689	0.494860167354689
27	mean	0	40	0.511713240370841	0.518543543543544	0.514635477695195	0.514635477695195
27	mean	0.001	40	0.509707088038146	0.516426426426426	0.512586431798084	0.512586431798084
27	mean	0.01	40	0.485378096692621	0.491501501501502	0.488043860552479	0.488043860552479
27	median	0	40	0.503620793650287	0.510105105105105	0.506414291340243	0.506414291340243
27	median	0.001	40	0.515277001787537	0.522312312312312	0.518280528998014	0.518280528998014
27	median	0.01	40	0.467015169280708	0.472462462462462	0.469413661292996	0.469413661292996
31	coverage	0	40	0.528790978154929	0.536156156156156	0.531919339313161	0.531919339313161
31	coverage	0.001	40	0.52588554658925	0.533183183183183	0.528980351338574	0.528980351338574
31	coverage	0.01	40	0.495240699515633	0.501741741741742	0.498051432403301	0.498051432403301
31	mean	0	40	0.522096600613316	0.529174174174174	0.525111430602536	0.525111430602536
