Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,NumReadsYesMapRef,NumReadsYesMapGraph,NumReadsSpurious,TotalZnfReads,NumReadsNoMapGraph,NumReadsNoMapRef,PropReadsDiff,PropReadsDiffTotal,PropReadsNoMapRef,PropReadsNoMapGraph,PropReadsYesMapRef,PropReadsYesMapGraph,PropReadsSpuriousTotal
vg,fixedfrag,L24,allele-msa,path,100,0,0,0,0,0,104856,0,34,104890,104856,0,NA,0,0,0.99967585089141,0.99967585089141,0,0.000324149108589951
vg,frag,L24,allele-msa,nopath,100,0,0,0,0,0,104890,0,0,104890,104890,0,NA,0,0,1,1,0,0
vg,frag,L24,allele-msa,path,100,0,0,0,0,0,104889,0,1,104890,104889,0,NA,0,0,0.999990466202688,0.999990466202688,0,9.53379731146916e-06
vg,none,L24,allele-msa,nopath,100,0,0,0,0,0,104890,0,0,104890,104890,0,NA,0,0,1,1,0,0
vg,none,L24,allele-msa,path,100,0,0,0,0,0,104889,0,1,104890,104889,0,NA,0,0,0.999990466202688,0.999990466202688,0,9.53379731146916e-06
ga,none,L3,allele-msa,nopath,100,0,-0.0386909142319421,-0.0572480782934624,62964,42554,62964,62964,23560,86524,0,0,0.675846515469157,0.491817299246452,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,allele-msa,path,100,0,-0.0387747382583699,-0.0572241847857679,62964,42664,62964,62964,23560,86524,0,0,0.677593545518074,0.493088622809856,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,allele-msa-dag,nopath,100,0,-0.0428515442919764,-0.0605580786192037,62964,44554,62964,62964,23560,86524,0,0,0.707610698176736,0.514932273126531,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,allele-msa-dag,path,100,0,-0.0428515442919764,-0.0605580786192037,62964,44554,62964,62964,23560,86524,0,0,0.707610698176736,0.514932273126531,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,stacked,nopath,100,0,0.00504528114795756,0.0101359587186114,62964,31341,62964,62964,23560,86524,0,0,0.497760625119116,0.362223198187786,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,stacked,path,100,0,0.00504528114795756,0.0101359587186114,62964,31341,62964,62964,23560,86524,0,0,0.497760625119116,0.362223198187786,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,znf-loop,nopath,100,0,0.0218438838796773,0.0548877925053875,62964,25058,62964,62964,23560,86524,0,0,0.397973445143256,0.289607507743516,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,znf-loop,path,100,0,0.0218438838796773,0.0548877925053875,62964,25058,62964,62964,23560,86524,0,0,0.397973445143256,0.289607507743516,0,0,0.727705607692663,0.727705607692663,0.272294392307337
ga,none,L3,znf-msa,nopath,100,0,0,0,6284,0,62964,6284,23560,86524,56680,0,0,0,0,0.655078359761453,0.727705607692663,0.0726272479312098,0.272294392307337
ga,none,L3,znf-msa,path,100,0,0,0,6284,0,62964,6284,23560,86524,56680,0,0,0,0,0.655078359761453,0.727705607692663,0.0726272479312098,0.272294392307337
mg,none,L3,allele-msa,nopath,100,0,-0.0180696101614756,-0.0345406560764562,14801,7743,31062,14801,12283,86524,59440,43179,0.523140328356192,0.0894896213767278,0.499040728583977,0.686977023715963,0.358998659331515,0.171062364199528,0.141960612084508
mg,none,L3,allele-msa,path,100,0,-0.0212617195004803,-0.0336758463294028,8328,5258,31062,8328,12283,86524,65913,43179,0.631364073006724,0.060769266330729,0.499040728583977,0.761788636678841,0.358998659331515,0.0962507512366511,0.141960612084508
mg,none,L3,allele-msa-dag,nopath,100,0,-0.0226055308737364,-0.0263212880008997,31062,26677,31062,31062,12283,86524,43179,43179,0.858830725645483,0.308319079099441,0.499040728583977,0.499040728583977,0.358998659331515,0.358998659331515,0.141960612084508
mg,none,L3,allele-msa-dag,path,100,0,-0.0226055308737364,-0.0263212880008997,31062,26677,31062,31062,12283,86524,43179,43179,0.858830725645483,0.308319079099441,0.499040728583977,0.499040728583977,0.358998659331515,0.358998659331515,0.141960612084508
mg,none,L3,stacked,nopath,100,0,0.000715063421544009,0.00299061532247206,31062,7427,31062,31062,12283,86524,43179,43179,0.239102440280729,0.0858374555036753,0.499040728583977,0.499040728583977,0.358998659331515,0.358998659331515,0.141960612084508
mg,none,L3,stacked,path,100,0,0.000715063421544009,0.00299061532247206,31062,7427,31062,31062,12283,86524,43179,43179,0.239102440280729,0.0858374555036753,0.499040728583977,0.499040728583977,0.358998659331515,0.358998659331515,0.141960612084508
mg,none,L3,znf-loop,nopath,100,0,-0.0149535380851201,-0.0158139316355713,31062,29372,31062,31062,12283,86524,43179,43179,0.945592685596549,0.339466506402848,0.499040728583977,0.499040728583977,0.358998659331515,0.358998659331515,0.141960612084508
