Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,MeanDiffPos,MeanDiffNeg,NumReadsPos,NumReadsNeg,PropReadsDiff,PropPos,PropNeg,NumReadsNoMapRef,NumReadsNoMapGraph
mg,none,D,znf-msa,path,100,0,5.29270220757799e-05,0.000256501278624853,1008209,208036,0.0073354694195559,-0.00735871166011455,107814,100222,0.206342137394132,0.106936161053908,0.0994059763402231,0,50591
mg,none,D,znf-msa,path,100,0.001,5.58725066880128e-05,0.000257426271988154,1008147,218811,0.00718676467988047,-0.00715815964502304,113114,105697,0.217042752693804,0.112199907354781,0.104842845339023,0,50653
mg,none,D,znf-msa,path,100,0.01,7.5717381442337e-05,0.000293912222564735,1007379,259520,0.00741971980487217,-0.00717793722964226,132836,126684,0.257619029183654,0.131862983048088,0.125756046135566,33,51378
mg,none,E,allele-msa,nopath,100,0,-0.000348462995836995,-0.00156577739277265,1021858,227414,0.00707638602395686,-0.00973842678941154,110532,116882,0.222549512750304,0.108167671046271,0.114381841704033,0,11742
mg,none,E,allele-msa,nopath,100,0.001,-0.000334194441263493,-0.00143710431616827,1021707,237595,0.00692307659052,-0.0093662533520309,115654,121941,0.232547100098169,0.113196836274979,0.11935026382319,1,11892
mg,none,E,allele-msa,nopath,100,0.01,-0.000209396486990415,-0.000781882705203666,1020094,273192,0.00713252195771327,-0.00845291467537429,134463,138729,0.267810613531694,0.131814322993763,0.135996290537931,34,13462
mg,none,E,allele-msa,path,100,0,-0.000365284270332529,-0.0016389165005576,1021897,227762,0.00707077519660784,-0.00982791123605077,110372,117390,0.222881562427524,0.108006971348384,0.11487459107914,0,11703
mg,none,E,allele-msa,path,100,0.001,-0.000350182187601847,-0.00150392291202556,1021749,237910,0.00691796707911576,-0.00944892951372722,115489,122421,0.232845835914691,0.113030695405623,0.119815140509068,1,11850
mg,none,E,allele-msa,path,100,0.01,-0.000216352562550424,-0.000807666775233571,1020097,273257,0.00712865256356815,-0.00848295191954677,134344,138913,0.267873545358922,0.131697279768493,0.136176265590429,34,13459
mg,none,E,allele-msa-dag,nopath,100,0,-0.000402536863909505,-0.00173927203865962,1033599,239216,0.00709943780496429,-0.00966949194213565,113128,126088,0.231439852399238,0.109450570288864,0.121989282110374,0,1
mg,none,E,allele-msa-dag,nopath,100,0.001,-0.000394631069229244,-0.00163572918086958,1033595,249362,0.00694596146689672,-0.00937381907478303,118236,131126,0.241256972024826,0.114392968232238,0.126864003792588,1,4
mg,none,E,allele-msa-dag,nopath,100,0.01,-0.000323328607580237,-0.00117068094380479,1033345,285398,0.00712486510922507,-0.00884499831365936,137148,148250,0.276188494646028,0.132722372489343,0.143466122156685,34,211
mg,none,E,allele-msa-dag,path,100,0,-0.000402536863909505,-0.00173927203865962,1033599,239216,0.00709943780496429,-0.00966949194213565,113128,126088,0.231439852399238,0.109450570288864,0.121989282110374,0,1
